
Date,Average Temperature
12/18/2013,-18.08269663
12/19/2013,-11.95676101
12/20/2013,-9.428552716
12/21/2013,-15.33723473
12/22/2013,-18.1255414
12/23/2013,-12.77467742
12/24/2013,-16.10873786
12/25/2013,-14.00475884
12/26/2013,-11.42432258
12/27/2013,-12.39919094
12/28/2013,-14.15127848
12/29/2013,-13.44419745
12/30/2013,-10.19350649
12/31/2013,-10.30216077
1/1/2014,-11.83687382
1/2/2014,-9.953697452
1/3/2014,-10.47780707
1/4/2014,-13.88470968
1/5/2014,-18.39301282
1/6/2014,-18.30480645
1/7/2014,-14.04572347
1/8/2014,-12.03505732
1/9/2014,-16.3407074
1/10/2014,-13.69419672
1/11/2014,-10.2364281
1/12/2014,-6.857283912
1/13/2014,-8.147553398
1/14/2014,-7.252466454
1/15/2014,-10.07428479
1/16/2014,-15.03955414
1/17/2014,-11.11531494
1/18/2014,-7.03737987
1/19/2014,-5.415329032
1/20/2014,-5.880974194
1/21/2014,-8.699060317
1/22/2014,-9.385178322
1/23/2014,-10.00597826
1/24/2014,-7.89001087
1/25/2014,-9.637139785
1/26/2014,-10.2433741
1/27/2014,-9.354251825
1/28/2014,-6.722467626
1/29/2014,-4.53858363
1/30/2014,-8.119384892
1/31/2014,-9.174496403
2/1/2014,-9.088265957
2/2/2014,-13.12286833
2/3/2014,-18.09468085
2/4/2014,-20.39183746
2/5/2014,-18.66040146
2/6/2014,-14.09594203
2/7/2014,-18.82111111
2/8/2014,-20.45546429
2/9/2014,-19.47097826
2/10/2014,-16.43348921
2/11/2014,-16.06119565
2/12/2014,-15.47342657
2/13/2014,-15.38104317
2/14/2014,-15.69182482
2/15/2014,-16.25358696
2/16/2014,-12.36485714
2/17/2014,-6.366017986
2/18/2014,-5.690248201
2/19/2014,-9.041281588
2/20/2014,-10.66945255
2/21/2014,-11.0728
2/22/2014,-9.100265455
2/23/2014,-15.21222222
2/24/2014,-18.0302518
2/25/2014,-11.62694203
2/26/2014,-16.12429091
2/27/2014,-13.35373665
2/28/2014,-8.649316547
3/1/2014,-6.721244604
3/2/2014,-7.764351648
3/3/2014,-7.581586081
3/4/2014,-7.191762411
3/5/2014,-8.289884477
3/6/2014,-7.240738516
3/7/2014,-6.616660714
3/8/2014,-9.751681159
3/9/2014,-16.41927273
3/10/2014,-14.40734909
3/11/2014,-5.857345324
3/12/2014,-2.737728938
3/13/2014,-0.432527675
3/14/2014,-3.250928571
3/15/2014,-4.219324627
3/16/2014,-2.037941606
3/17/2014,-1.641010753
3/18/2014,-5.219076087
3/19/2014,-2.224571429
3/20/2014,-3.037393617
3/21/2014,-1.570611722
3/22/2014,-1.677893617
3/23/2014,-2.212
3/25/2014,-7.244592857
3/26/2014,-3.497927152
3/27/2014,-8.379224138
3/28/2014,-5.660475177
3/29/2014,-2.91797482
3/30/2014,-2.727690391
3/31/2014,0.20230719
4/1/2014,0.871366337
4/2/2014,-0.689940351
4/3/2014,-0.622852518
4/4/2014,-0.984637324
4/5/2014,-2.235823741
4/6/2014,-3.902888889
4/7/2014,-7.829283154
4/8/2014,-5.817470175
4/9/2014,-2.993821429
4/10/2014,-1.134835714
4/11/2014,-3.936327338
4/12/2014,-4.827078292
4/13/2014,-8.321441696
4/14/2014,-9.013933099
4/15/2014,-5.074021429
4/16/2014,-3.564213523
4/17/2014,-4.063329825
4/18/2014,-2.255659498
4/19/2014,-3.574521127
4/20/2014,-3.106656028
4/21/2014,-1.744716312
4/22/2014,-3.873620072
4/23/2014,-0.297570922
4/24/2014,4.092507143
4/25/2014,0.29555
4/26/2014,-3.026703571
4/27/2014,0.209021053
4/28/2014,-2.270192029
4/29/2014,-1.014122744
4/30/2014,4.798802867
5/1/2014,2.790996479
5/2/2014,4.052714286
5/3/2014,6.399253571
5/4/2014,6.591686833
5/5/2014,6.891664311
5/6/2014,6.501314286
5/7/2014,4.205439286
5/8/2014,6.171230216
5/9/2014,5.164798561
5/10/2014,1.249775439
5/11/2014,-3.77585159
5/12/2014,-4.23284965
5/13/2014,1.357473498
5/14/2014,2.603332155
5/15/2014,1.741747368
5/16/2014,2.334893238
5/17/2014,6.571021352
5/18/2014,7.255953571
5/19/2014,3.454031915
5/20/2014,0.064104693
5/21/2014,-4.564512456
5/22/2014,-4.561458781
5/23/2014,0.747592058
5/24/2014,3.156574468
5/25/2014,5.091746429
5/26/2014,5.937147887
5/27/2014,3.614229391
5/28/2014,6.163814545
5/29/2014,5.45546595
5/30/2014,1.248503546
5/31/2014,0.972808511
6/1/2014,-1.875385159
6/2/2014,-3.324464286
6/3/2014,-0.802775801
6/4/2014,3.549950355
6/5/2014,3.635171429
6/6/2014,4.044776596
6/7/2014,2.337252632
6/8/2014,1.775177305
6/9/2014,0.652192171
6/10/2014,6.809535461
6/11/2014,6.404523132
6/12/2014,6.380430605
6/13/2014,8.820910714
6/14/2014,9.944503521
6/15/2014,3.415017606
6/16/2014,6.015811388
6/17/2014,4.381427046
6/18/2014,3.326138298
6/19/2014,4.289602837
6/20/2014,4.605792982
6/21/2014,5.631767857
6/22/2014,7.331644366
6/23/2014,6.327883803
6/24/2014,4.478844523
6/25/2014,6.244532609
6/26/2014,9.217835125
6/27/2014,10.30293929
6/28/2014,10.31963701
6/29/2014,8.591964286
6/30/2014,10.50710638
7/1/2014,10.37086833
7/2/2014,6.452445652
7/3/2014,5.318274021
7/4/2014,3.337573477
7/5/2014,4.385675
7/6/2014,5.335420495
7/7/2014,5.943156584
7/8/2014,5.144257042
7/9/2014,9.928992727
7/10/2014,11.40448763
7/11/2014,10.10640288
7/12/2014,9.96686121
7/13/2014,8.700671429
7/14/2014,8.652291815
7/15/2014,6.603862191
7/16/2014,5.080587189
7/17/2014,3.00959364
7/18/2014,5.936625442
7/19/2014,7.624712766
7/20/2014,7.864963768
7/21/2014,7.503425532
7/22/2014,12.01893617
7/23/2014,11.30489606
7/24/2014,6.514670251
7/25/2014,9.302279152
7/26/2014,10.70066429
7/27/2014,9.287820789
7/28/2014,6.148928315
7/29/2014,4.634508897
7/30/2014,3.799525362
7/31/2014,5.288144876
8/1/2014,5.817053191
8/2/2014,6.704946809
8/3/2014,5.724626335
8/4/2014,5.048842857
8/5/2014,6.260179577
8/6/2014,8.515928058
8/7/2014,7.556845614
8/8/2014,7.211427046
8/9/2014,8.398537367
8/10/2014,9.309611307
8/11/2014,10.30192115
8/12/2014,9.42865942
8/13/2014,9.170377224
8/14/2014,7.443624561
8/15/2014,3.908467626
8/16/2014,1.450361702
8/17/2014,2.024234875
8/18/2014,3.75753405
8/19/2014,6.359857651
8/20/2014,8.771880282
8/21/2014,10.68957295
8/22/2014,12.18367857
8/23/2014,12.64676259
8/24/2014,11.19591844
8/25/2014,9.496610714
8/26/2014,6.359401434
8/27/2014,8.89435689
8/28/2014,10.35548201
8/29/2014,8.921293286
8/30/2014,10.38751246
8/31/2014,11.6630605
9/1/2014,9.690645161
9/2/2014,6.841267857
9/3/2014,5.116397163
9/4/2014,2.904221831
9/5/2014,6.693510791
9/6/2014,2.709134276
9/7/2014,5.270985765
9/8/2014,5.492820423
9/9/2014,4.57157971
9/10/2014,4.377862676
9/11/2014,2.441308511
9/12/2014,3.240577061
9/13/2014,3.728242105
9/14/2014,5.104523297
9/15/2014,2.000989051
9/16/2014,4.19294306
9/17/2014,7.443126761
9/18/2014,5.883657143
9/19/2014,-3.370975089
9/20/2014,1.046595745
9/21/2014,2.076855124
9/22/2014,3.625379433
9/23/2014,3.360719424
9/24/2014,2.679641577
9/25/2014,3.892322695
9/26/2014,5.800830389
9/27/2014,3.701838596
9/28/2014,0.939894928
9/29/2014,2.250982332
9/30/2014,4.364284211
10/1/2014,0.818483755
10/2/2014,1.423515901
10/3/2014,2.513652015
10/4/2014,-1.1276
10/5/2014,1.485853571
10/6/2014,0.426028571
10/7/2014,-0.50812766
10/8/2014,-8.857148014
10/9/2014,-8.014137809
10/10/2014,-2.653553191
10/11/2014,-0.396159574
10/12/2014,-1.595228571
10/13/2014,-1.672459649
10/14/2014,0.563308244
10/15/2014,0.303289753
10/16/2014,1.528394265
10/17/2014,1.551898955
10/18/2014,2.330336879
10/19/2014,1.406670251
10/20/2014,1.496452297
10/21/2014,-1.073587814
10/22/2014,2.837169065
10/23/2014,0.859162455
10/24/2014,-1.130760563
10/25/2014,-0.20627758
10/26/2014,-3.077446429
10/27/2014,-10.31082857
10/28/2014,-10.03101773
10/29/2014,-9.072560284
10/30/2014,-8.378856631
10/31/2014,-2.311310954
11/1/2014,-2.509322695
11/2/2014,-0.921189286
11/3/2014,-0.948594306
11/4/2014,-3.072419355
11/5/2014,-0.583003497
11/6/2014,-4.671195035
11/7/2014,-8.758932862
11/8/2014,-13.60216312
11/9/2014,-12.96657042
11/10/2014,-11.10761538
11/13/2014,-7.312011173
11/14/2014,-6.383704626
11/15/2014,-8.304618881
11/16/2014,-7.25994306
11/17/2014,-6.740325175
11/18/2014,-6.913519435
11/19/2014,-6.514250883
11/20/2014,-8.361234875
11/21/2014,-10.34058099
11/22/2014,-10.46911268
11/23/2014,-7.292875887
11/24/2014,-6.700046429
11/25/2014,-14.01544484
11/26/2014,-8.496705263
11/27/2014,-11.72928521
11/28/2014,-11.66403546
11/29/2014,-8.309902098
11/30/2014,-9.36455516
12/1/2014,-9.866734266
12/2/2014,-5.767714286
12/3/2014,-7.742748252
12/4/2014,-13.238
12/5/2014,-10.95862766
12/6/2014,-8.222723404
12/7/2014,-20.92873239
12/8/2014,-16.83302817
12/9/2014,-13.31334507
12/10/2014,-10.03980919
12/11/2014,-10.99871739
12/12/2014,-11.40948754
12/13/2014,-11.19663732
12/14/2014,-11.03276923
12/15/2014,-10.12102847
12/16/2014,-4.950074468
12/17/2014,-4.784412811
12/18/2014,-5.75809894
12/19/2014,-7.704681818
12/20/2014,-8.235754386
12/21/2014,-9.184049123
