Year,Month,Day,Temperature
2013,12,18,-16.18
2013,12,19,-19.61
2013,12,20,-8.66
2013,12,21,-12.06
2013,12,22,-18.29
2013,12,23,-16.44
2013,12,24,-15.25
2013,12,25,-17.71
2013,12,26,-11.32
2013,12,27,-12.89
2013,12,28,-14.58
2013,12,29,-16.61
2013,12,30,-13.48
2013,12,31,-10.09
2014,1,1,-12.84
2014,1,2,-13.28
2014,1,3,-9.61
2014,1,4,-12.38
2014,1,5,-16.24
2014,1,6,-21.52
2014,1,7,-16.81
2014,1,8,-12.46
2014,1,9,-16.56
2014,1,10,-17.26
2014,1,11,-12.13
2014,1,12,-8.78
2014,1,13,-8.16
2014,1,14,-8.46
2014,1,15,-9.42
2014,1,16,-13.2
2014,1,17,-16.73
2014,1,18,-7.645
2014,1,19,-6.486
2014,1,20,-6.064
2014,1,21,-7.087
2014,1,22,-10.45
2014,1,23,-11.47
2014,1,24,-9.46
2014,1,25,-7.871
2014,1,26,-10.61
2014,1,27,-10.38
2014,1,28,-8.11
2014,1,29,-5.218
2014,1,30,-5.765
2014,1,31,-9.46
2014,2,1,-9.57
2014,2,2,-8.33
2014,2,3,-17.42
2014,2,4,-19.44
2014,2,5,-23.67
2014,2,6,-14.24
2014,2,7,-22.15
2014,2,8,-20.88
2014,2,9,-22.82
2014,2,10,-18.08
2014,2,11,-18.24
2014,2,12,-17.33
2014,2,13,-16.52
2014,2,14,-17.3
2014,2,15,-17.5
2014,2,16,-16.32
2014,2,17,-9.82
2014,2,18,-4.28
2014,2,19,-9.22
2014,2,20,-10.1
2014,2,21,-13.26
2014,2,22,-10.1
2014,2,23,-12.62
2014,2,24,-19.21
2014,2,25,-16.09
2014,2,26,-15.87
2014,2,27,-16.78
2014,2,28,-13.95
2014,3,1,-8.65
2014,3,2,-10.18
2014,3,3,-10.56
2014,3,4,-8.75
2014,3,5,-9.29
2014,3,6,-9.41
2014,3,7,-7.358
2014,3,8,-7.701
2014,3,9,-15.58
2014,3,10,-17.57
2014,3,11,-12.66
2014,3,12,-5.303
2014,3,13,-4.533
2014,3,14,-1.811
